A	B	C	D	E	F	G
-5.2	37	2.2	2000	-17.6	0	254
-5.5	38	0.8	2000	-17.6	0	204
-6	39	1	2000	-17.7	0	173
-6.2	40	0.9	2000	-17.6	0	107
-6	36	2.3	2000	-18.6	0	78
-6.4	37	1.5	2000	-18.7	0	100
-6.6	35	1.3	2000	-19.5	0	181
-7.4	38	0.9	2000	-19.3	0	460
-7.6	37	1.1	2000	-19.8	0.01	930
-6.5	27	0.5	1928	-22.4	0.23	490
-3.5	24	1.2	1996	-21.2	0.65	339
-0.5	21	1.3	1936	-20.2	0.94	360
1.7	23	1.4	2000	-17.2	1.11	449
2.4	25	1.6	2000	-15.6	1.16	451
3	26	2	2000	-14.6	1.01	447
2.1	36	3.2	2000	-11.4	0.54	463
1.2	54	4.2	793	-7	0.24	484
0.8	58	1.6	2000	-6.5	0.08	555
0.6	66	1.4	2000	-5	0	862
0	77	1.7	2000	-3.5	0	600
-0.3	79	1.5	1913	-3.5	0	426
-0.8	81	0.8	1687	-3.6	0	405
-0.9	83	1.5	1380	-3.4	0	398
-1.3	84	1	1265	-3.6	0	323
-1.8	87	1.1	994	-3.6	0	328
-2.2	86	0.6	990	-4.2	0	308
-2.9	86	1.5	1256	-4.9	0	262
-3.5	81	2.2	1221	-6.2	0	167
-3.8	79	2	1167	-6.9	0	89
-4	79	1.5	1202	-7.1	0	79
-4.3	82	2.1	1178	-6.9	0	70
-4.4	81	2.5	1276	-7.1	0	146
-4.2	79	2.1	1436	-7.3	0.01	219
-2.9	68	1.6	1487	-7.9	0.3	328
-0.4	57	1.6	1309	-7.8	0.8	334
1.9	49	1.8	1406	-7.7	1	388
4.3	41	1.3	1666	-7.8	1.09	479
6	36	1.8	1780	-7.9	1.12	606
7.3	35	1.3	1955	-7.1	0.99	611
7.6	41	2.3	1953	-4.8	0.74	589
6.4	48	2.6	1945	-3.8	0.22	618
6	51	2.5	1891	-3.3	0.06	572
5.5	53	1.5	1697	-3.3	0	489
5	52	2.3	1666	-4	0	385
4.6	51	1.2	1585	-4.6	0	359
4.1	55	1.2	1448	-4.1	0	377
3.5	54	1.5	1446	-4.9	0	354
4	56	1	1352	-4	0	366
4	58	1.4	1296	-3.5	0	342
3.9	69	1.7	485	-1.2	0	227
3.3	79	1.4	830	0	0	228
3.4	71	1.6	1011	-1.3	0	117
3.5	73	1	1060	-0.8	0	76
3.9	75	1.9	914	-0.1	0	32
3.4	86	2.5	278	1.2	0	13
3.1	91	1.2	129	1.7	0	22
3.2	92	1.8	244	2	0	85
3.5	91	1.8	231	2.1	0.02	152
4.4	89	2.2	257	2.7	0.24	200
5.1	87	1.4	321	3.1	0.25	273
5.8	85	1.7	349	3.4	0.43	333
6.8	81	1.9	390	3.7	0.6	495
7.6	76	1.2	422	3.6	0.69	563
8	73	1.6	433	3.4	0.53	621
7.6	77	1.6	399	3.8	0.2	598
6.7	82	1.5	358	3.8	0.05	545
6	84	1.9	327	3.4	0	443
5.7	85	1.7	309	3.3	0	422
5.2	87	1.4	253	3.2	0	397
4.7	87	1.2	247	2.7	0	385
4.3	89	1.8	201	2.6	0	350
3.9	90	1.3	194	2.4	0	303
4.2	88	0.6	216	2.3	0	285
4.3	87	0.5	221	2.3	0	186
4.4	87	1.8	207	2.4	0	112
3.6	85	2.3	206	1.3	0	65
2.8	89	1.5	130	1.1	0	41
2	83	2.7	253	-0.5	0	82
1.2	76	3.7	371	-2.5	0	200
0.2	68	3.4	702	-5	0	498
-0.8	69	3.5	954	-5.7	0.01	937
-1.5	47	4.2	1888	-11.3	0.22	509
-1.1	40	4.5	2000	-13	0.64	311
-0.5	41	4.1	1799	-12.1	0.94	379
-0.3	38	4.8	1823	-12.9	1.11	393
0	30	5.4	1938	-15.5	1.17	391
0.1	27	4.5	2000	-16.7	1.09	338
-0.1	25	5.8	2000	-17.8	0.88	341
-0.2	23	4.7	2000	-18.8	0.55	375
-1.3	26	5.3	2000	-18.3	0.18	515
-2.1	29	3.9	2000	-17.7	0	807
-2.9	32	3.2	2000	-17.3	0	568
-3.6	38	3	2000	-15.8	0	398
-4.6	43	4.5	2000	-15.3	0	397
-5.3	45	2.5	2000	-15.3	0	353
-5.8	44	2.4	2000	-16.1	0	248
-6.1	42	2.6	2000	-16.9	0	216
-6.5	41	2.8	2000	-17.6	0	198
-6.8	41	2.5	2000	-17.8	0	124
-6.9	39	2	2000	-18.5	0	62
-7.2	34	3	2000	-20.4	0	42
-7.4	33	2.6	2000	-20.9	0	82
-7.4	34	3.2	2000	-20.6	0	172
